O*NET-SOC Code;Title;Description;Area
19-2011.00;Astronoms;Novēro, pēta un interpretē astronomiskas parādības, lai palielinātu pamatzināšanas vai izmantotu šādu informāciju praktiskām problēmām.;Zinātne
19-2012.00;Fiziķis;Veic fizikālo parādību izpēti, izstrādā teorijas, pamatojoties uz novērojumiem un eksperimentiem, un izstrādā metodes fizisko likumu un teoriju pielietošanai.;Zinātne
19-2021.00;Atmosfēras un kosmosa zinātnieks;Izpēta atmosfēras parādības un interpretē meteoroloģiskos datus, ko savāc virszemes un gaisa stacijas, satelīti un radari, lai sagatavotu ziņojumus un prognozes publiskai un citai lietošanai. Ietver laikapstākļu analītiķus un prognozētājus, kuru funkcijām ir nepieciešamas detalizētas zināšanas meteoroloģijā.;Zinātne
19-2031.00;Ķīmiķis;Laboratorijās veic kvalitatīvas un kvantitatīvās ķīmiskās analīzes vai eksperimentus kvalitātes vai procesa kontrolei vai jaunu produktu vai zināšanu izstrādei.;Zinātne
19-2032.00;Materiālzinātnieks;Pēta un pēta dažādu dabisko un sintētisko vai kompozītmateriālu, tostarp metālu, sakausējumu, gumijas, keramikas, pusvadītāju, polimēru un stikla, struktūras un ķīmiskās īpašības. Nosaka veidus, kā stiprināt vai apvienot materiālus vai izstrādā jaunus materiālus ar jaunām vai specifiskām īpašībām izmantošanai dažādos produktos un lietojumos. Ietver stikla zinātniekus, keramikas zinātniekus, metalurģijas zinātniekus un polimēru zinātniekus.;Zinātne
19-2041.00;Vides zinātnieks un speciālists, tostarp veselība;Veic izpēti vai veic izmeklēšanu, lai identificētu, samazinātu vai likvidētu piesārņotāju vai apdraudējumu avotus, kas ietekmē vidi vai sabiedrības veselību. Izmantojot zināšanas par dažādām zinātnes disciplīnām, var vākt, sintezē, pēta, ziņo un iesaka darbības, pamatojoties uz datiem, kas iegūti no gaisa, pārtikas, augsnes, ūdens un citu avotu mērījumiem vai novērojumiem.;Zinātne
19-2041.01;Klimata pārmaiņu politikas analītiķis;Pēta un analizē politikas attīstību saistībā ar klimata pārmaiņām. Sniedz ar klimatu saistītus ieteikumus darbībām, piemēram, tiesību aktiem, izpratnes veidošanas kampaņām vai līdzekļu vākšanas metodēm.;Zinātne
19-2041.02;Vides atjaunošanas plānotājs;Sadarbojas ar lauka un bioloģijas darbiniekiem, lai pārraudzītu atjaunošanas projektu īstenošanu un izstrādātu jaunus produktus. Apstrādā un sintezē sarežģītus zinātniskos datus praktiskās atjaunošanas, uzraudzības vai pārvaldības stratēģijās.;Zinātne
19-2041.03;Industriālais ekologs;Pielieto dabisko ekosistēmu principus un procesus, lai izstrādātu modeļus efektīvām industriālajām sistēmām. Izmanto zināšanas no fiziskajām un sociālajām zinātnēm, lai maksimāli efektīvi izmantotu dabas resursus preču un pakalpojumu ražošanā un izmantošanā. Izpēta sabiedrības problēmas un to saistību ar tehniskajām sistēmām un vidi.;Zinātne
19-2042.00;Ģeozinātnieks, izņemot hidrologus un ģeogrāfus;"Izpēta Zemes sastāvu, struktūru un citus fiziskos aspektus. Var izmantot ģeoloģijas, fizikas un matemātikas zināšanas naftas, gāzes, minerālu vai pazemes ūdens izpētē; vai atkritumu apglabāšanā, meliorācijā vai citās vides problēmās. Var pētīt Zemes iekšējo sastāvu, atmosfēru un okeānus, kā arī tās magnētiskos, elektriskos un gravitācijas spēkus. Ietver mineralogus, paleontologus, stratigrāfus, ģeodēzistus un seismologus.";Zinātne
19-2043.00;Hidrologs;"Pēta pazemes un virszemes ūdeņu izplatību, cirkulāciju un fizikālās īpašības; un izpēta nokrišņu formu un intensitāti un to iesūkšanās augsnē ātrumu, pārvietošanos pa zemi un atgriešanos okeānā un atmosfērā.";Zinātne
19-2099.00;Fizikas zinātnieks, visi pārējie;Visi fizikas zinātnieki, kas nav uzskaitīti atsevišķi.;Zinātne
19-2099.01;Tālvadības zinātnieks un tehnologs;Lieto attālās uzrādes principus un metodes, lai analizētu datus un risinātu problēmas tādās jomās kā dabas resursu pārvaldība, pilsētplānošana vai iekšzemes drošība. Var izstrādāt jaunas sensoru sistēmas, analītiskās metodes vai jaunus lietojumus esošajām sistēmām.;Zinātne
19-3011.00;Ekonomists;Veic izpēti, sagatavo ziņojumus vai formulē plānus, lai risinātu ekonomiskās problēmas, kas saistītas ar preču un pakalpojumu ražošanu un izplatīšanu vai monetāro un fiskālo politiku. Var vākt un apstrādāt ekonomiskos un statistikas datus, izmantojot izlases metodes un ekonometriskās metodes.;Analītika
19-3011.01;Vides ekonomists;Veic ekonomisko analīzi saistībā ar vides aizsardzību un dabas vides, piemēram, ūdens, gaisa, zemes un atjaunojamo energoresursu izmantošanu. Novērtē un kvantificē alternatīvu iespēju ieguvumus, izmaksas, stimulus un ietekmi, izmantojot ekonomiskos principus un statistikas metodes.;Zinātne
19-3022.00;Aptaujas pētnieks;Plāno, izstrādā vai veic aptaujas. Var analizēt un interpretē aptaujas datu nozīmi, noteikt aptaujas mērķus vai ieteikt vai pārbaudīt jautājuma formulējumu. Ietver sociālos zinātniekus, kuri galvenokārt izstrādā anketas vai uzrauga aptauju komandas.;Analītika
19-3032.00;Rūpnieciskās organizācijas psihologs;"Piemērot psiholoģijas principus cilvēkresursu, administrācijas, vadības, pārdošanas un mārketinga problēmām. Darbības var ietvert politikas plānošanu; darbinieku pārbaude un atlase, apmācība un attīstība; un organizācijas attīstība un analīze. Var strādāt ar vadību, lai organizētu darba apstākļus, lai uzlabotu darbinieku produktivitāti.";Sociālais
19-3033.00;Klīniskais un konsultējošais psihologs;Novērtē, diagnosticē un ārstē indivīdu garīgos un emocionālos traucējumus, izmantojot novērojumus, intervijas un psiholoģiskos testus. Palīdz personām ar ciešanām vai nepareizu pielāgošanos izprast viņu problēmas, izmantojot zināšanas par gadījumu vēsturi, intervijas ar pacientiem un teoriju. Sniedz individuālus vai grupu konsultācijas pakalpojumus, lai palīdzētu indivīdiem sasniedz efektīvāku personīgo, sociālo, izglītības un profesionālo attīstību un pielāgošanos. Var izstrādāt uzvedības modifikācijas programmas un konsultēties ar medicīnas personālu par labāko ārstēšanu pacientiem.;Zinātne
19-3034.00;Skolas psihologs;Diagnosticē un ievieš individuālus vai skolas mēroga pasākumus vai stratēģijas, lai risinātu izglītības, uzvedības vai attīstības problēmas, kas nelabvēlīgi ietekmē izglītības darbību skolā. Var risināt skolēnu mācīšanās un uzvedības problēmas un konsultēt studentus vai ģimenes. Var izstrādāt un īstenot darbības plānus un novērtēt veiktspēju. Var konsultēties ar citiem skolas darbiniekiem.;Zinātne
19-3039.00;Psihologs, visi pārējie;Visi psihologi nav uzskaitīti atsevišķi.;Zinātne
19-3039.02;Neiropsihologists;Lieto neiropsiholoģijas teorijas un principus, lai novērtētu un diagnosticētu augstākas smadzeņu darbības traucējumus, bieži vien pētniecības un medicīnas vidē. Izpēta cilvēka smadzenes un fizioloģisko stāvokļu ietekmi uz cilvēka izziņu un uzvedību. Var izstrādāt un vadīt ārstēšanas programmas.;Zinātne
19-3039.03;Klīniskais neiropsihologists;Novērtē un diagnosticē pacientus ar neiro-uzvedības problēmām, kas saistītas ar iegūtiem vai attīstības traucējumiem nervu sistēmā, piemēram, neirodeģeneratīviem traucējumiem, traumatisku smadzeņu traumu, krampju traucējumiem un mācīšanās traucējumiem. Iesaka ārstēšanu pēc diagnozes noteikšanas, piemēram, terapiju, medikamentus vai operāciju. Palīdz novērtēt pirms un pēc neiroķirurģiskām procedūrām, piemēram, dziļas smadzeņu stimulācijas.;Zinātne
19-3041.00;Sociologs;Izpēta cilvēku sabiedrību un sociālo uzvedību, pārbaudot cilvēku veidotās grupas un sociālās institūcijas, kā arī dažādas sociālās, reliģiskās, politiskās un biznesa organizācijas. Var pētīt grupu uzvedību un mijiedarbību, izseko to izcelsmei un izaugsmei, kā arī analizē grupas aktivitāšu ietekmi uz atsevišķiem dalībniekiem.;Zinātne
19-3051.00;Pilsētplānotājs un reģionālais plānotājs;Izstrādā visaptverošus plānus un programmas zemes un fizisko objektu izmantošanai jurisdikcijās, piemēram, pilsētās, pilsētās, apgabalos un lielpilsētu teritorijās.;Zinātne
19-3091.00;Antropologi un arheologi;Izpēta cilvēku izcelsmi, attīstību un uzvedību. Var pētīt cilvēku dzīvesveidu, valodu vai fiziskās īpašības dažādās pasaules daļās. Var iesaistīties sistemātiskā materiālo pierādījumu, piemēram, darbarīku vai trauku, kas palikuši no pagātnes cilvēku kultūrām, atgūšanā un pārbaudē, lai noteiktu agrāko civilizāciju vēsturi, paražas un dzīves paradumus.;Zinātne
19-3092.00;Ģeogrāfi;Pēta Zemes virsmas laukumu raksturu un izmantošanu, saista un interpretē fizisko un kultūras parādību mijiedarbību. Veic izpēti par reģiona fiziskajiem aspektiem, tostarp zemes formām, klimatu, augsni, augiem un dzīvniekiem, un veic pētījumus par cilvēka darbību telpisko ietekmi noteiktā apgabalā, tostarp sociālajām īpašībām, ekonomiskajām aktivitātēm un politisko organizāciju, kā arī pētot reģionu savstarpējo atkarību mērogā no lokāla līdz globālam.;Zinātne
19-3093.00;Vēsturnieks;Pēta, analizē, reģistrē un interpretē pagātni, kas ierakstīta avotos, piemēram, valdības un iestāžu ierakstos, laikrakstos un citos periodiskajos izdevumos, fotogrāfijās, intervijās, filmās, elektroniskajos plašsaziņas līdzekļos un nepublicētos manuskriptos, piemēram, personīgās dienasgrāmatās un vēstulēs.;Zinātne
19-3094.00;Politikas zinātnieks;Izpēta politisko sistēmu izcelsmi, attīstību un darbību. Var pētīt tādas tēmas kā sabiedriskā doma, politisko lēmumu pieņemšana un ideoloģija. Var analizēt valdību, kā arī dažādu politisko vienību struktūru un darbību. Var veikt sabiedriskās domas aptaujas, analizēt vēlēšanu rezultātus vai analizēt publiskos dokumentus.;Zinātne
19-3099.00;Sociālie zinātnieki un saistītie darbinieki, visi pārējie;Visi sociālie zinātnieki un saistītie darbinieki, kas nav uzskaitīti atsevišķi.;Zinātne
19-3099.01;Transporta plānotājs;Sagatavo pētījumus piedāvātajiem transporta projektiem. Apkopo, apkopo un analizē datus. Izpēta transporta sistēmu izmantošanu un darbību. Izstrādā transporta modeļus vai simulācijas.;Zinātne
19-4012.00;Lauksaimniecības tehniķi;Strādā ar lauksaimniecības zinātniekiem augu, šķiedrvielu un dzīvnieku izpētē vai palīdz dzīvnieku audzēšanā un barošanā. Iestata vai uztur laboratorijas aprīkojumu un savāc paraugus no kultūraugiem vai dzīvniekiem. Sagatavo paraugus vai ieraksta datus, lai palīdzētu zinātniekiem bioloģijas vai saistītos dzīvības zinātnes eksperimentos. Veic testus un eksperimentus, lai uzlabotu ražu un labības kvalitāti vai palielinātu augu un dzīvnieku izturību pret slimībām vai kukaiņiem.;Zinātne
19-4012.01;Precīzās lauksaimniecības tehniķi;Lieto ģeotelpiskās tehnoloģijas, tostarp ģeogrāfiskās informācijas sistēmas (GIS) un globālās pozicionēšanas sistēmu (GPS), lauksaimnieciskās ražošanas vai pārvaldības darbībām, piemēram, kaitēkļu izpēti, vietnei specifisku pesticīdu lietošanu, ražas kartēšanu vai mainīgas ātruma apūdeņošanu. Var izmantot datorus, lai izstrādātu vai analizētu kartes vai attālās uzrādes attēlus, lai salīdzinātu fizisko topogrāfiju ar datiem par augsni, mēslojumu, kaitēkļiem vai laikapstākļiem.;Zinātne
19-4013.00;Pārtikas zinātnes tehniķi;Sadarbojas ar pārtikas zinātniekiem vai tehnologiem, lai veiktu standartizētus kvalitatīvus un kvantitatīvus testus, lai noteiktu pārtikas vai dzērienu produktu fizikālās vai ķīmiskās īpašības. Ietver tehniķus, kas palīdz pētniecībā un ražošanas tehnoloģiju attīstībā, kvalitātes kontrolē, iepakošanā, pārstrādē un pārtikas produktos.;Zinātne
19-4021.00;Bioloģijas tehniķi;Palīdz bioloģiskajiem un medicīnas zinātniekiem. Iestata, darbina un uztur laboratorijas instrumentus un iekārtas, uzrauga eksperimentus, vāc datus un paraugus, veic novērojumus, kā arī aprēķina un pieraksta rezultātus. Var analizēt organiskās vielas, piemēram, asinis, pārtiku un zāles.;Zinātne
19-4031.00;Ķīmijas tehniķi;Veic ķīmiskās un fizikālās laboratorijas testus, lai palīdzētu zinātniekiem veic kvalitatīvu un kvantitatīvu cietvielu, šķidrumu un gāzveida materiālu analīzi jaunu produktu vai procesu izpētei un izstrādei, kvalitātes kontrolei, vides standartu uzturēšanai un citam darbam, kas saistīts ar ķīmijas un saistīto zinātņu eksperimentālu, teorētisku vai praktisku pielietojumu.;Zinātne
19-4042.00;Vides zinātnes un aizsardzības tehniķi, tostarp veselība;Vides zinātnieka, inženiera vai cita speciālista vadībā veic laboratorijas un lauka testus, lai uzraudzītu vidi un izmeklētu piesārņojuma avotus, tostarp tos, kas ietekmē veselību. Var savākt gāzu, augsnes, ūdens un citu materiālu paraugus testēšanai.;Zinātne
19-4043.00;Ģeoloģijas tehniķi, izņemot hidroloģijas tehniķus;Palīdz zinātniekiem vai inženieriem izmanto elektroniskus, skaņas vai kodolmērīšanas instrumentus laboratorijas, izpētes un ražošanas darbībās, lai iegūtu datus, kas norāda uz tādiem resursiem kā metāla rūda, minerāli, gāze, ogles vai nafta. Analizē dubļus un urbj atgriezumus. Diagrammas spiediens, temperatūra un citi aku vai urbumu raksturlielumi.;Zinātne
19-4044.00;Hidroloģijas tehniķi;Vāc un kārto datus par gruntsūdeņu un virszemes ūdeņu izplatību un apriti, kā arī datus par to fizikālajām, ķīmiskajām un bioloģiskajām īpašībām. Mēra plūsmas ātrumu un gruntsūdens līmeni un ziņo par tiem, uztur lauka aprīkojumu, savāc ūdens paraugus, uzstāda un savāc paraugu ņemšanas iekārtas un apstrādā paraugus nosūtīšanai uz testēšanas laboratorijām. Var vākt datus hidrologu, inženieru, izstrādātāju, valsts aģentūru vai lauksaimniecības vārdā.;Zinātne
19-4051.00;Kodoltehniķi;Palīdz kodolfiziķiem, kodolinženieriem vai citiem zinātniekiem laboratorijas, elektroenerģijas ražošanas vai elektroenerģijas ražošanas darbībās. Var darboties, uzturēt vai nodrošināt kodolizmēģinājumu un pētniecības iekārtu kvalitātes kontroli. Var kontrolēt starojumu.;Zinātne
19-4051.02;Kodolenerģijas uzraudzības tehniķi;Savāc un pārbauda paraugus, lai uzraudzītu kodoleksperimentu rezultātus un cilvēku, iekārtu un vides piesārņojumu.;Zinātne
19-4061.00;Sociālo zinātņu pētniecības asistenti;Palīdz sociālajiem zinātniekiem laboratorijas, aptaujas un citos sociālo zinātņu pētījumos. Var palīdzēt sagatavo rezultātus publicēšanai un palīdzēt laboratorijas analīzēs, kvalitātes kontrolē vai datu pārvaldībā.;Zinātne
19-4071.00;Meža un dabas aizsardzības tehniķi;Sniedz tehnisko palīdzību saistībā ar augsnes, ūdens, mežu vai saistīto dabas resursu saglabāšanu. Var mežsaimnieku vadībā apkopo datus par meža platību lielumu, saturu, stāvokli un citiem raksturlielumiem vai apmācīt un vadīt meža darbiniekus meža pavairošanā un ugunsgrēku novēršanā un dzēšanā. Var palīdzēt dabas aizsardzības zinātniekiem pārvalda, uzlabot un aizsargā ganības un savvaļas dzīvotnes.;Zinātne
19-4092.00;Tiesu medicīnas tehniķi;Vāc, identificē, klasificē un analizē ar kriminālizmeklēšanu saistītus lietiskus pierādījumus. Veic ieroču vai vielu, piemēram, šķiedru, matu un audu, testus, lai noteiktu nozīmi izmeklēšanai. Var liecināt kā ekspertu liecinieki par pierādījumiem vai noziegumu laboratorijas metodēm. Var kalpot kā speciālisti tādās kompetences jomās kā ballistika, pirkstu nospiedumu noņemšana, rokraksts vai bioķīmija.;Zinātne
19-4099.00;Dzīvības, fizisko un sociālo zinātņu tehniķi, viss pārējais;Visi dzīves, fizisko un sociālo zinātņu tehniķi nav atsevišķi uzskaitīti.;Zinātne
19-4099.01;Kvalitātes kontroles analītiķi;Veic testus, lai noteiktu izejvielu, beztaras starpproduktu un gatavo produktu kvalitāti. Var veikt stabilitātes paraugu pārbaudes.;Zinātne
19-4099.03;Tālvadības tehniķi;Izmanto attālās uzrādes tehnoloģijas, lai palīdzētu zinātniekiem tādās jomās kā dabas resursi, pilsētplānošana vai iekšzemes drošība. Var sagatavot lidojumu plānus vai sensoru konfigurācijas lidojuma braucieniem.;Zinātne
19-5011.00;Darba aizsardzības speciālisti;Pārskata, novērtē un analizē darba vidi un izstrādā programmas un procedūras, lai kontrolētu, novērstu un novērstu slimības vai ievainojumus, ko izraisa ķīmiski, fizikāli un bioloģiski aģenti vai ergonomiski faktori. Var veikt pārbaudes un nodrošināt to likumu un noteikumu ievērošanu, kas regulē personu veselību un drošību. Var strādāt valsts vai privātajā sektorā.;Zinātne
19-5012.00;Darba veselības un drošības tehniķi;Savāc datus par darba vidi, lai tos analizētu arodveselības un drošības speciālisti. Īsteno un vada programmas, kas izstrādātas, lai ierobežotu ķīmisko, fizikālo, bioloģisko un ergonomisko risku darbiniekiem.;Zinātne
21-1011.00;Vielu lietošanas un uzvedības traucējumu konsultanti;Konsultē un konsultē personas ar alkohola, tabakas, narkotiku vai citām problēmām, piemēram, azartspēlēm un ēšanas traucējumiem. Var konsultēt personas, ģimenes vai grupas vai iesaistīties profilakses programmās.;Sociālais
21-1012.00;Izglītības, karjeras atbalsta un karjeras konsultants un padomdevējs;Konsultē un palīdz studentiem un nodrošina izglītības un profesionālās orientācijas pakalpojumus.;Sociālais
21-1013.00;Laulību un ģimenes terapeiti;Diagnosticē un ārstē garīgos un emocionālos traucējumus, neatkarīgi no tā, vai tie ir kognitīvi, emocionāli vai uzvedības traucējumi laulības un ģimenes sistēmu kontekstā. Pielieto psihoterapeitiskās un ģimenes sistēmu teorijas un metodes, sniedzot pakalpojumus indivīdiem, pāriem un ģimenēm, lai ārstētu šādus diagnosticētus nervu un garīgos traucējumus.;Sociālais
21-1014.00;Garīgās veselības konsultanti;"Konsultē un konsultē personas un grupas, lai veicinātu optimālu garīgo un emocionālo veselību, uzsvaru liekot uz profilaksi. Var palīdzēt cilvēkiem risina dažādas garīgās veselības problēmas, piemēram, tās, kas saistītas ar atkarībām un vielu lietošanu; ģimenes, vecāku un laulības problēmas; stresa vadība; pašcieņa; vai novecošanās.";Sociālais
21-1015.00;Rehabilitācijas konsultanti;Konsultē personas, lai palielinātu to personu neatkarību un nodarbināmību, kuras saskaras ar personiskām, sociālām un profesionālām grūtībām, kas radušās iedzimtu defektu, slimību, slimību, nelaimes gadījumu, novecošanas vai ikdienas dzīves stresa dēļ. Koordinē aktivitātes aprūpes un ārstniecības iestāžu iemītniekiem. Novērtē klientu vajadzības un izstrādā un īsteno rehabilitācijas programmas, kas var ietvert personīgās un profesionālās konsultācijas, apmācību un iekārtošanu darbā.;Sociālais
21-1019.00;Padomnieki, visi pārējie;Visi konsultanti nav uzskaitīti atsevišķi.;Sociālais
21-1021.00;Bērnu, ģimenes un skolas sociālais darbinieks;Sniedz sociālos pakalpojumus un palīdzību, lai uzlabotu bērnu un viņu ģimeņu sociālo un psiholoģisko funkcionēšanu un palielinātu ģimenes labklājību un bērnu akadēmisko darbību. Var palīdzēt vecākiem, organizēt adopciju un atrast audžuģimenes pamestiem vai vardarbībā cietušiem bērniem. Skolās viņi risina tādas problēmas kā pusaudžu grūtniecība, nepareiza uzvedība un skolas kavēšana. Var arī konsultēt skolotājus.;Sociālais
21-1022.00;Veselības aprūpes sociālais darbinieks;Sniedz indivīdiem, ģimenēm un grupām psihosociālo atbalstu, kas nepieciešams, lai tiktu galā ar hroniskām, akūtām vai galīgām slimībām. Pakalpojumi ietver konsultācijas ģimenes aprūpētājiem. Sniedz pacientiem informāciju un konsultācijas, kā arī nosūtīt nosūtījumus uz citiem pakalpojumiem. Var nodrošināt arī gadījumu un aprūpes vadību vai intervences, kas paredzētas veselības veicināšanai, slimību profilaksei un veselības aprūpes pieejamības šķēršļu novēršanai.;Sociālais
21-1023.00;Garīgās veselības un vielu lietošanas sociālais darbinieks;Novērtē un ārstē personas ar garīgām, emocionālām vai atkarības problēmām, tostarp pārmērīgu alkohola, tabakas un/vai citu narkotiku lietošanu. Pasākumi var ietvert individuālo un grupu terapiju, krīzes iejaukšanos, gadījumu pārvaldību, klientu aizstāvību, profilaksi un izglītošanu.;Sociālais
21-1029.00;Sociālie darbinieki, visi pārējie;Visi sociālie darbinieki nav atsevišķi uzskaitīti.;Sociālais
21-1091.00;Veselības izglītības speciālisti;Nodrošina un pārvalda veselības izglītības programmas, kas palīdz indivīdiem, ģimenēm un viņu kopienām maksimāli palielināt un uztur veselīgu dzīvesveidu. Izmanto datus, lai noteiktu kopienas vajadzības pirms tādu programmu plānošanas, ieviešanas, uzraudzības un novērtēšanas, kas izstrādātas, lai veicinātu veselīgu dzīvesveidu, politiku un vidi. Var saistīt veselības sistēmas, veselības pakalpojumu sniedzējus, apdrošinātājus un pacientus, lai apmierinātu individuālās un iedzīvotāju veselības vajadzības. Var kalpot kā resurss, lai palīdzētu indivīdiem, citiem veselības aprūpes speciālistiem vai sabiedrībai, un var administrēt fiskālos resursus veselības izglītības programmām.;Sociālais
21-1092.00;Probācijas darbinieki un korekcijas ārstēšanas speciālisti;Sniedz sociālos pakalpojumus, lai palīdzētu rehabilitēt likumpārkāpējus apcietinājumā vai probācijas laikā vai nosacīti pirms termiņa. Sniedz ieteikumus darbībām, kas ietver rehabilitācijas plāna izstrādi un likumpārkāpēja ārstēšanu, tostarp nosacītu atbrīvošanu un izglītības un nodarbinātības nosacījumus.;Sociālais
21-1093.00;Sociālo un cilvēkresursu asistenti;Palīdz citiem sociālo un cilvēkpakalpojumu sniedzējiem sniedz klientu pakalpojumus dažādās jomās, piemēram, psiholoģijā, rehabilitācijā vai sociālajā darbā, ieskaitot atbalstu ģimenēm. Var palīdzēt klientiem nosaka un iegūst pieejamos pabalstus un sociālos un sabiedriskos pakalpojumus. Var palīdzēt sociālajiem darbiniekiem izstrādā, organizēt un vadīt programmas, lai novērstu un atrisinātu problēmas, kas saistītas ar vielu lietošanu, cilvēku attiecībām, rehabilitāciju vai apgādājamo aprūpi.;Sociālais
21-1094.00;Kopienas veselības aprūpes darbinieks;Veicina veselību sabiedrībā, palīdzot indivīdiem pieņem veselīgu uzvedību. Darbojas kā indivīdu veselības vajadzību aizstāvis, palīdzot kopienas iedzīvotājiem efektīvi sazinās ar veselības aprūpes sniedzējiem vai sociālo pakalpojumu aģentūrām. Rīkoies kā sadarbības partneris vai aizstāv un īsteno programmas, kas veicina, uztur un uzlabo indivīda un kopienas veselību kopumā. Var nodrošināt ar veselību saistītus profilaktiskus pakalpojumus, piemēram, asinsspiediena, glaukomas un dzirdes pārbaudes. Var vākt datus, lai palīdzētu nosaka kopienas veselības vajadzības.;Sociālais
21-1099.00;Sabiedrisko un sociālo dienestu speciālists, visi pārējie;Visi sabiedrisko un sociālo pakalpojumu speciālisti nav atsevišķi uzskaitīti.;Sociālais
21-2011.00;Garīdznieks;Veic reliģisku pielūgsmi un veic citas garīgas funkcijas, kas saistītas ar reliģiskās ticības vai konfesijas uzskatiem un praksi. Sniedz locekļiem garīgu un morālu vadību un palīdzību.;Sociālais
21-2021.00;Direktors, reliģiskās aktivitātes un izglītība;Koordinē vai izstrādā programmas un veic pasākumus, lai veicinātu konfesionālas grupas reliģisko izglītību vai aktivitātes. Var sniegt konsultācijas, vadību un vadību saistībā ar laulības, veselības, finansiālām un reliģiskām problēmām.;Sociālais
21-2099.00;Reliģiskais darbinieks, visi pārējie;Visi reliģiskie darbinieki, kas nav uzskaitīti atsevišķi.;Sociālais
23-1011.00;Jurists;Pārstāv klientus krimināllietās un civillietās un citos tiesvedības procesos, noformēt juridiskos dokumentus vai vada vai konsultē klientus juridiskajos darījumos. Var specializēties vienā jomā vai praktizēt plaši daudzās tiesību jomās.;Tieslietas
23-1012.00;Tiesu lietu ierēdnis;Palīdz tiesnešiem tiesā vai veicot pētījumus vai sagatavojot juridiskus dokumentus.;Tieslietas
23-1021.00;Administratīvo tiesību tiesnesis, tiesnesis un uzklausīšanas amatpersona;Rīko uzklausīšanas, lai ieteiktu vai pieņemtu lēmumus par prasībām saistībā ar valdības programmām vai citiem ar valdību saistītiem jautājumiem. Nosaka atbildību, sankcijas vai sodus vai iesaka pieņem vai noraidīt prasības vai izlīgumus.;Tieslietas
23-1022.00;Šķīrējtiesnesis, starpnieks un samierinātājs;Veicina sarunas un konfliktu risināšanu, izmantojot dialogu. Risina konfliktus ārpus tiesu sistēmas ar iesaistīto pušu savstarpēju piekrišanu.;Tieslietas
23-1023.00;Tiesneši, miertiesneši un magistrāti;Sniedz šķīrējtiesu, konsultē, spriež vai izpilda taisnīgumu tiesā. Var piespriest apsūdzēto krimināllietās saskaņā ar valdības statūtiem vai sodu noteikšanas vadlīnijām. Var noteikt atbildētāja atbildību civillietās. Var veikt kāzu ceremonijas.;Tieslietas
23-2011.00;Juristu palīgi un juridiskie asistenti;Palīdz juristiem, izmeklējot faktus, sagatavojot juridiskus dokumentus vai pētot juridisku precedentu. Veic izpēti, lai atbalstītu tiesvedību, formulētu aizstāvību vai uzsāktu tiesvedību.;Tieslietas
23-2093.00;Īpašumtiesību pārbaudītāji, referenti un meklētāji;Meklē nekustamā īpašuma ierakstus, pārbauda nosaukumus vai apkopo attiecīgos juridiskos vai apdrošināšanas dokumentus vai informāciju dažādiem mērķiem. Var izveidot sarakstus ar hipotēkām, līgumiem un citiem ar īpašumtiesībām saistītu instrumentu sarakstus, meklējot juridisko firmu, nekustamā īpašuma aģentūru vai īpašumtiesību apdrošināšanas sabiedrību publiskos un privātos ierakstus.;Tieslietas
23-2099.00;Juridiskā atbalsta darbinieki, visi pārējie;Visi juridiskā atbalsta darbinieki, kas nav uzskaitīti atsevišķi.;Tieslietas
25-1011.00;Biznesa skolotājs, pēcvidusskolas;Pasniedz kursus uzņēmējdarbības vadībā un vadībā, piemēram, grāmatvedībā, finansēs, cilvēkresursos, darba un darba attiecībās, mārketingā un operāciju izpētē. Ietver gan skolotājus, kas galvenokārt nodarbojas ar mācīšanu, gan tos, kuri apvieno mācīšanu un pētniecību.;Izglītība
25-1021.00;Datorzinātņu skolotājs, pēcvidusskolas;Pasniedz kursus datorzinātnēs. Var specializēties kādā datorzinātņu jomā, piemēram, datoru dizainā un funkcijās vai operācijās un pētniecības analīzē. Ietver gan skolotājus, kas galvenokārt nodarbojas ar mācīšanu, gan tos, kuri apvieno mācīšanu un pētniecību.;Izglītība
25-1022.00;Matemātikas zinātņu skolotājs, pēcvidusskolas;Pasniedz kursus, kas attiecas uz matemātikas jēdzieniem, statistiku un aktuāro zinātni, kā arī oriģinālu un standartizētu matemātisko metožu pielietošanu konkrētu problēmu un situāciju risināšanā. Ietver gan skolotājus, kas galvenokārt nodarbojas ar mācīšanu, gan tos, kuri apvieno mācīšanu un pētniecību.;Izglītība
25-1031.00;Arhitektūras skolotājs, pēcvidusskolas;Pasniedz arhitektūras un arhitektūras dizaina kursus, piemēram, arhitektūras vides dizains, interjera arhitektūra/dizains un ainavu arhitektūra. Ietver gan skolotājus, kas galvenokārt nodarbojas ar mācīšanu, gan tos, kuri apvieno mācīšanu un pētniecību.;Izglītība
25-1032.00;Inženierzinātņu skolotājs, pēcvidusskolas;Pasniedz kursus, kas attiecas uz fizisko likumu un inženierzinātņu principu piemērošanu mašīnu, materiālu, instrumentu, procesu un pakalpojumu izstrādei. Ietver tādu priekšmetu kā ķīmijas, civilās, elektriskās, rūpniecības, mehāniskās, minerālu un naftas inženierijas skolotājus. Ietver gan skolotājus, kas galvenokārt nodarbojas ar mācīšanu, gan tos, kuri apvieno mācīšanu un pētniecību.;Izglītība
